Title,Address
카페이숲,충남 천안시 서북구 성거읍 남창마을1길 32 1층
블렌데렌,"충남 천안시 동남구 먹거리8길 5 1, 2층"
그리고스페셜티,충남 천안시 동남구 유량로 104
오월의숲,충남 천안시 서북구 세관길 78
유얼스,충남 천안시 서북구 불당31길 37
풍세커피,충남 천안시 동남구 풍세면 한우물2길 90 2동 1층
교토리,충남 천안시 동남구 북면 위례성로 782
피노카페,충남 천안시 동남구 풍세면 휴양림길 99-23
마리스,충남 천안시 동남구 천호지길 11
마젠타,충남 천안시 서북구 성성2길 81 1동 2~4층
에이게이트,충남 천안시 동남구 목천읍 동리2길 183 1~4층
베이커리머그카페,충남 천안시 동남구 화령길 4-11 1동 1~2층
랜드마크 195,충남 천안시 동남구 유량로 195
도시커피,충남 천안시 동남구 통정10로 7-1
숲속의문,충남 천안시 동남구 양지말2길 61 1층
그레이츄,충남 천안시 서북구 오성7길 42
핀스커피,충남 천안시 동남구 해솔1길 27-29
알롱지,충남 천안시 동남구 풍세면 용두2길 39-1 1~2층
투닷츠,충남 천안시 서북구 불당30길 7-7 1층
코끼리공장,충남 천안시 동남구 목천읍 동평1길 1-8 1층
동민목장,충남 천안시 서북구 성환읍 왕림길 154
키키키린카페,충남 천안시 동남구 천안천9길 50 1층
타마르카페,충남 천안시 동남구 공고담길 43-6 1층
카페앙프,충남 천안시 동남구 천안천변길 139
카페목천,충남 천안시 동남구 목천읍 충절로 986-37 1층
루가밀팩토리,충남 천안시 동남구 천안천9길 20 1층
할리우드 카페,충남 천안시 동남구 유량로 185 1동 1층 101호
배나무숲,충남 천안시 서북구 직산읍 상덕로 137
공각,충남 천안시 서북구 불당30길 4 1층
뚜아에무아 카페 앤 레스토랑,"충남 천안시 동남구 북면 위례성로 1434-2 1,2동 1층"
애월빵 공장 천안,충남 천안시 서북구 성성5로 95 브이티스퀘어 비동 지층 112~118호
카페온담,"충남 천안시 동남구 통세골2길 41 1,2층"
멜버른커피하우스,충남 천안시 서북구 불당34길 3-16 세븐타워 1층
OCT,충남 천안시 서북구 불당29길 11-5 1층
라비앙,충남 천안시 동남구 먹거리8길 16-3 1층
메종드엠,충남 천안시 동남구 양지말1길 11-12
본태커피하우스,충남 천안시 서북구 성환읍 매주4길 30
소셜스낵,충남 천안시 동남구 먹거리3길 21 2층
히트커피로스터스,충남 천안시 동남구 통정4로 67 1층
커피동경,충남 천안시 동남구 태조산길 264 커피동경
시스터즈,충남 천안시 서북구 불당16길 1
카페디331,충남 천안시 동남구 청수15길 35
사람그리고이야기,충남 천안시 동남구 천호지길 17
카페 루,충남 천안시 동남구 서부대로 531-20
더레이크스토리,"충남 천안시 서북구 업성수변로 120 1,2층"
숨,충남 천안시 동남구 목천읍 덕전1길 24
랜디스커피,충남 천안시 서북구 불당16길 20-1 1층
제이스맨션,충남 천안시 서북구 불당28길 24 1층
릴리프,충남 천안시 서북구 성성11길 24-1 1층
더캣,충남 천안시 동남구 먹거리11길 31 4층
카페슈,충남 천안시 동남구 중리1길 55 1동
루베아,"충남 천안시 동남구 목천읍 교촌7길 46-11 1,2층"
지로스터커피,"충남 천안시 동남구 천호지길 27 2동 지하1층,1층"
투카인즈오브커피,충남 천안시 서북구 불당16길 26 1층
시유당,충남 천안시 동남구 풍세면 휴양림길 99-18 1~3층
카페코몽,충남 천안시 서북구 쌍용14길 10 1층
파고다포레스트,충남 천안시 동남구 목천읍 교천지산길 128
프리퍼팩토리,충남 천안시 동남구 목천읍 종합휴양지로 77
로스터리파르,충남 천안시 서북구 동서대로 17-40
어거스트센트,충남 천안시 동남구 공설시장2길 9-2
미소레커피,충남 천안시 동남구 단대로 161-1 1층
기와52,충남 천안시 동남구 북면 충절로 1474-15
비브레이브,충남 천안시 서북구 한들3로 36-16
타타스베이글,충남 천안시 동남구 태조산길 220-3 1층
힐사이드카페,충남 천안시 서북구 안터길 75-37 2층
천안타운홀,충남 천안시 동남구 옛시청길 29 47층
뷰282,충남 천안시 동남구 유량로 282
더엑스엑스,충남 천안시 동남구 청수10길 4-54
그림스,"충남 천안시 동남구 미죽5길 232-1 1,2층"
오르엘크리스탈카페,충남 천안시 서북구 성거읍 망향로 791
어나더카페,충남 천안시 동남구 목천읍 서리1길 89 1층
마메르,충남 천안시 서북구 성거읍 천흥리 197 1층
커피바이블,충남 천안시 서북구 성정두정로 98 1층
토아빈,충남 천안시 서북구 입장면 망향로 1094-22
오시유,충남 천안시 동남구 광덕면 해수길 178-40
H카페,충남 천안시 서북구 한들1로 120
피오르드,충남 천안시 동남구 먹거리8길 13
더쉘터,충남 천안시 서북구 성거읍 천흥4길 189-27
택스처,충남 천안시 동남구 새말1길 57-5 1층
호랭이카페,충남 천안시 동남구 광덕면 해수길 29 1동
카페어젠,충남 천안시 동남구 먹거리3길 14 2층
숨어반,충남 천안시 서북구 서부대로 446
카페르블랑,충남 천안시 서북구 원두정6길 2
도펠하우스,충남 천안시 서북구 성거읍 명우리길 74
한움,충남 천안시 서북구 불당34길 25-5 1층
버터집,충남 천안시 서북구 나사렛대길 22-6 1층
화진담,충남 천안시 동남구 광덕면 보산원2길 30-4
라운디,충남 천안시 서북구 월봉7길 36 1층
키에소커피랩,충남 천안시 서북구 불당15길 16-1 1층
제주미작,충남 천안시 동남구 신흥1길 58-1
스밀로우커피,충남 천안시 동남구 봉서9길 25 금탑빌딩 1층
노마만리,충남 천안시 서북구 직산읍 금곡로 166
앳니스,충남 천안시 동남구 구성12길 9 4동 1층
브루어스커피,충남 천안시 동남구 먹거리9길 20
오픈업커피와한방차,"충남 천안시 동남구 서부대로 523-9 1,2층"
카페메가트라움,충남 천안시 서북구 성거읍 성거탑골길 7 1층
플레이스윤슬,충남 천안시 동남구 목천읍 서흥5길 6 2층
까치,충남 천안시 동남구 목천읍 동평3길 60 2동 1층
잇츠독,충남 천안시 동남구 먹거리9길 22 3층
이도로에커피,충남 천안시 동남구 병천면 충절로 1544 1층
카페흑,충남 천안시 동남구 북면 위례성로 824-36
매주리커피,충남 천안시 서북구 성환읍 성환18길 24
듀오0301,충남 천안시 동남구 목천읍 충절로 869
구름정원,충남 천안시 동남구 호서대길 44
업성동커피집,충남 천안시 서북구 번영로 751
부에노,충남 천안시 동남구 남부대로 336
라벤투라,충남 천안시 동남구 태조산길 120-5
에스프레소이음,충남 천안시 동남구 통정10로 59 1층
데이오프,"충남 천안시 동남구 목천읍 서리1길 26 1,2층"
달자커피,충남 천안시 서북구 서부역12길 16-11
소요카페,충남 천안시 동남구 충절로 407-3
오익커피,충남 천안시 서북구 차돌고개4길 44 1층
에소,충남 천안시 동남구 태조산길 142-8
무릉도원,충남 천안시 서북구 불당29길 7-9 1층
슬로우커피2,충남 천안시 동남구 천호지길 27
카페오후,충남 천안시 동남구 병천면 가전1길 257
시온,충남 천안시 서북구 공단로 72
곽스브라운,충남 천안시 서북구 오성로 115 프라지움9차 1층 115호
카페위아,충남 천안시 서북구 안터길 49 2층
코네로,충남 천안시 서북구 월봉5길 33 1층
블랙문,충남 천안시 서북구 원두정7길 25 1층
비비모스,충남 천안시 동남구 성남면 약수로 130 1층
977번지,충남 천안시 서북구 부성4길 10 2층
독정리카페,"충남 천안시 서북구 입장면 입장로 280 1동 1,2층"
그레비티,충남 천안시 서북구 미라16길 9 1층
세컨드힐,충남 천안시 서북구 쌍용13길 18-7 1층
카페플러그,충남 천안시 서북구 불당15길 23
하니앤손스,충남 천안시 서북구 월봉6길 10 1층
카페컨테이너,충남 천안시 동남구 용곡6길 7-12 1층
카페삼룡동,충남 천안시 동남구 청수12로 41-29 1층
안라커피,충남 천안시 동남구 망향로 113 1층
하레브라도,충남 천안시 서북구 성환읍 성환1로 263 1층
카페지산리,충남 천안시 동남구 목천읍 교천지산길 249
포니벨라,충남 천안시 동남구 유량로 130 1층
판정리카페,충남 천안시 서북구 직산읍 성진로 430 1동 1층
카페노브,충남 천안시 동남구 벌말2로 4
히든모먼츠,충남 천안시 동남구 성남면 신사3길 42-19 1층
모게닉,충남 천안시 서북구 업성2길 129 1층
카페상동,충남 천안시 동남구 북면 충절로 1349
카페담소,충남 천안시 서북구 두정상가1길 27 프라지움1차 상가동 1층 106호
휘게베이크샵,충남 천안시 동남구 신부7길 23 1층
바우토커피,충남 천안시 동남구 대흥로 336-12
카페그리고,충남 천안시 서북구 성정공원7길 9 모아엘가워너비 1층 101호
카페엘리,충남 천안시 동남구 유량로 133
수상한홍카페,충남 천안시 동남구 먹거리9길 28
커피멜로우,충남 천안시 서북구 불당29길 11-7 1층
그래비티라운지,충남 천안시 서북구 차돌들길 12 앙코르라마다호텔 1층
소댕이,충남 천안시 서북구 성거읍 소댕이2길 1-17
버터레이어,충남 천안시 동남구 청수12로 33 1층 101호
플러피 디저트샵,충남 천안시 서북구 성성동 40-16 수변로 1층 플러피
더채움,충남 천안시 동남구 순천향3길 52 1층
카프닉,충남 천안시 동남구 향교1길 104-24 2층
카페크렘므,충남 천안시 동남구 병천면 아우내3로 33 1층
멍카페유,충남 천안시 동남구 풍세로 769-55 1층
카페문,충남 천안시 동남구 태조산길 195-6
룸816,충남 천안시 동남구 터미널2로 8 1층
셰필드브렉퍼스트클럽,충남 천안시 서북구 성환읍 성월수향길 251-11 2동 1층
카페 마찌,충남 천안시 동남구 목천읍 종합휴양지로 123
꽃이야기,충남 천안시 동남구 목천읍 교천지산길 341
외교,충남 천안시 서북구 미라2길 63
플레이 룸카페,충남 천안시 동남구 먹거리11길 47 3층
온슬,충남 천안시 동남구 샛골길 69
더모어더베러,충남 천안시 서북구 3공단6로 50 힐링제이타워 1층 116호
그래비티,충남 천안시 서북구 백석동 16-25
곹커피,충남 천안시 서북구 불당29길 18-2
풀숲,"충남 천안시 서북구 성환읍 왕지1길 121 1,2층"
기억저장소,충남 천안시 동남구 광덕면 광풍로 1011 1층
티그레노어,충남 천안시 서북구 불당15길 11 1층
카페카일리,"충남 천안시 서북구 직산읍 4산단7로 56 C동 1,2층"
브루1990카페,충남 천안시 서북구 입장면 연곡길 85
카페밤바리,충남 천안시 서북구 직산읍 직산로 273
이베노가,충남 천안시 동남구 목천읍 신계5길 7
카페316,충남 천안시 동남구 서부대로 257-5 1층
문화시민,충남 천안시 서북구 불당21로 40 천안불당호반써밋플레이스 상가 501동 102호
카페어반파크,충남 천안시 서북구 백석3로 35 1층 104호
순복이네,충남 천안시 서북구 미라8길 26 2층
커피베리,충남 천안시 동남구 방죽안3길 5 1층
북카페산새,충남 천안시 서북구 월봉6길 19
마농스,충남 천안시 서북구 원두정8길 15 1층
커피미식가,충남 천안시 동남구 통정1로 27-17 1층
파르크 커피,충남 천안시 동남구 목천읍 응원3길 33 1층
멜번커피하우스,충남 천안시 서북구 음봉로 861-63 1층
온다,충남 천안시 서북구 성환읍 성환18길 1
한방카페 쉼(명인),충남 천안시 동남구 서부대로 531-16
더솔트,충남 천안시 동남구 터미널7길 7 1층 더솔트 카페
블루더카페,충남 천안시 서북구 동서대로 53 1층
하이비,충남 천안시 동남구 터미널4길 4-3 1층
부록하우스,충남 천안시 서북구 불당31길 34 1층
카페데이오프,충남 천안시 동남구 영성로 86 1층
마르페 커피,충남 천안시 서북구 노태산로 98 1층
포리빈,충남 천안시 동남구 유량로 187
레이지베어,"충남 천안시 동남구 먹거리10길 6 1,2층"
윈드폴,충남 천안시 동남구 통정2길 5-15 1층
카페레이지,충남 천안시 서북구 두정역길 37 103호
꽃처럼,충남 천안시 동남구 명동길 57 2동 1층
언아더,충남 천안시 동남구 먹거리2길 5 1층
이레,충남 천안시 동남구 용곡5길 37-10
풍미,충남 천안시 서북구 월봉6길 32
카페더다움,충남 천안시 동남구 충절로 196 2층
냥이싸롱,충남 천안시 동남구 먹거리11길 26-1
카페 그리노크,충남 천안시 서북구 불당11로 4 1층
프라이빗290,충남 천안시 동남구 신방통정로 74 101호
아시나요,충남 천안시 동남구 충절로 437 1층
멜로우크림,충남 천안시 서북구 한들3로 35-16 엘리트빌 1층 101호
소정공방,충남 천안시 서북구 성거읍 역전말3길 102-2 1층
이쁜이다방,충남 천안시 동남구 공설시장3길 14-1
더브농,충남 천안시 서북구 늘푸른4길 29 CJ프라자 1층 103호
마루카페,충남 천안시 동남구 광덕면 죽계2길 20 1층
듀크로스터리앤드도넛,충남 천안시 동남구 통정1로 20 1층 101호
카페플라밍고,충남 천안시 동남구 목천읍 덕전1길 153 2층
꽃분이네애견카페,충남 천안시 동남구 통정4로 22-25 3층
카페정원,충남 천안시 동남구 수신면 속창1길 38
디오커피,충남 천안시 서북구 원두정6길 40 2층
위드솔,충남 천안시 동남구 성남면 약수로 9 1층
리무소커피,충남 천안시 서북구 불당30길 7-5 1층 102호
노아목공소카페,충남 천안시 서북구 성거읍 봉주로 316 1층
카페윈드밀,충남 천안시 동남구 북면 위례성로 1098-14
고가교,충남 천안시 서북구 서부대로 297 1층
구룡카페호두과자,충남 천안시 동남구 광풍로 1725 3동
더자연카페,충남 천안시 동남구 목천읍 삼방로 77-8 1층
언덕위커피나무,충남 천안시 동남구 청수14로 102 124호
바림커피,충남 천안시 동남구 향교1길 85-20 1층
더 아메노,충남 천안시 서북구 성정공원6길 45
소담카페,충남 천안시 동남구 목천읍 삼방로 530
아일커피,충남 천안시 동남구 먹거리7길 19-4 1층
듀크커피,충남 천안시 동남구 통정5로 106
오우케이크,충남 천안시 서북구 서부2길 55
아인스,충남 천안시 동남구 먹거리11길 37 세세빌딩 4층
포트오브모카,충남 천안시 서북구 부성5길 24
카페카키,충남 천안시 서북구 부성14길 46 지광빌딩 1층
카페멜버른,충남 천안시 서북구 입장면 입장천변1길 6 1층
카페블랑,충남 천안시 서북구 미라16길 38-3 1층
카페라고,충남 천안시 동남구 만남로 34 지하1층
카페엠,충남 천안시 동남구 태조산길 245
오아시스,충남 천안시 동남구 청수10길 29
커피원,충남 천안시 서북구 성거읍 성진로 654
광덕커피,충남 천안시 동남구 광덕면 상사길 23
925개러지카페,"충남 천안시 서북구 성환읍 성환1로 243 주윤빌딩 1층 108,109호"
카페서리,충남 천안시 동남구 목천읍 서리1길 77 1층
돌담정원,충남 천안시 동남구 북면 상동3길 55
디저트소밀,충남 천안시 동남구 먹거리6길 8
꿈엔들,충남 천안시 서북구 한들1로 40-15
보드웰,충남 천안시 서북구 불당16길 7-1 1층
더스트림카페,충남 천안시 동남구 방죽안5길 4 1층
고요히,충남 천안시 서북구 불당16길 34-8 해피메종건물 1층 상가
카페아르떼,충남 천안시 동남구 목천읍 교천지산길 364
TTO카페,충남 천안시 서북구 불당30길 7-6 1층 102호
인디오디너리,충남 천안시 서북구 부성1길 7 1층 인디오디너리
헬로커피,충남 천안시 동남구 대흥로 237
샤론전통찻집,충남 천안시 동남구 광덕면 덕암1길 44-1
바페리그노,충남 천안시 동남구 먹거리8길 30
베이크움,충남 천안시 서북구 오성1길 12-13 경희빌딩 1층 101호
투데이카페,충남 천안시 서북구 성환읍 성환1로 89 2동 1층
플랜비,충남 천안시 서북구 불당4로 39-44
누솜,충남 천안시 동남구 풍세면 영성1길 22
디저트39,충남 천안시 서북구 성성8로 2-15
파피커피베이크,충남 천안시 동남구 신부3길 3 1층
카페제인,충남 천안시 동남구 터미널9길 50 1층
DS애견카페,충남 천안시 동남구 병천면 유관순길 99
카페디올레,충남 천안시 동남구 목천읍 교천지산길 158
펫프닝타운,충남 천안시 동남구 각원사길 150 1층
LP카페아리랑,충남 천안시 동남구 광덕면 죽계1길 7-1 1층
투투다실,충남 천안시 서북구 성거읍 성거길 90
임뷰,충남 천안시 동남구 먹거리11길 6 2층
보라움커피,충남 천안시 동남구 원성12길 17 1층
상덕로87카페,충남 천안시 서북구 직산읍 상덕로 87
로스터리까페 니콜,충남 천안시 동남구 신부11길 21
카페지금,충남 천안시 서북구 성환읍 매주3길 3 1동 1층
라비갤러리카페,충남 천안시 동남구 향교1길 30
카페알마,충남 천안시 동남구 호서대길 110
유카페,충남 천안시 서북구 봉정로 324 효성해링턴플레이스 상가 1층
카페블랙컨테이너,충남 천안시 동남구 문암로 69 도진빌딩 2층
광덕가자카페호두,충남 천안시 동남구 광덕면 광풍로 315 6동 1층
유리정원,충남 천안시 서북구 불당15길 14
오르페,충남 천안시 서북구 입장면 위례성로 1751-20 1동 1층
트리앤버드,충남 천안시 동남구 향교5길 20
하임,충남 천안시 서북구 늘푸른3길 41 인트로타운 1층 108호
커방,충남 천안시 동남구 중앙로 30 2동 1층 2호
카페티핫,충남 천안시 서북구 원두정3길 27 2층 201호
카페다빈제과,충남 천안시 서북구 한들3로 35-11 1층
북촌카페,충남 천안시 서북구 직산읍 성진로 422
